test,function,description,automated,parameters,expected result,begin,end
TC017,adb_ui_call,Telefono internacional,True,"{'seconds': '3', 'number_phone': '+524494269026', 'device_id': '1'}",Llamada realizada exitosamente a +524494269026,11/05/2020 16:03:00,11/05/2020 16:03:26
TC018,adb_ui_call,Telefono con #,True,"{'seconds': '3', 'number_phone': '#321', 'device_id': '1'}",Llamada realizada exitosamente a #123,11/05/2020 16:03:26,11/05/2020 16:03:40
TC019,adb_ui_call,Telefono con *,True,"{'seconds': '3', 'number_phone': '*321', 'device_id': '1'}",Llamada realizada exitosamente a *123,11/05/2020 16:03:40,11/05/2020 16:03:52
TC020,adb_ui_call,Telefono vacio,True,"{'seconds': '3', 'number_phone': '', 'device_id': '1'}",Numero de telefono invalido,11/05/2020 16:03:52,11/05/2020 16:03:52
TC021,adb_ui_call,Telefono con letras,True,"{'seconds': '3', 'number_phone': '123abc', 'device_id': '1'}",Numero de telefono invalido,11/05/2020 16:03:52,11/05/2020 16:03:52
TC022,adb_ui_call,Telefono con simbolos raros,True,"{'seconds': '3', 'number_phone': '123!%', 'device_id': '1'}",Numero de telefono invalido,11/05/2020 16:03:52,11/05/2020 16:03:52
TC023,adb_ui_wifi,Apagar wifi con wifi encendido,True,"{'status': '0', 'device_id': '1'}",Estatus de Wifi cambiado a Off,11/05/2020 16:03:52,11/05/2020 16:03:57
TC024,adb_ui_wifi,Apagar wifi con wifi apagado,True,"{'status': '0', 'device_id': '1'}",Wifi se encuentra Off - No es necesario Turn Off,11/05/2020 16:03:57,11/05/2020 16:04:21
TC025,adb_ui_wifi,Encender wifi con wifi apagado,True,"{'status': '1', 'device_id': '1'}",Estatus de Wifi cambiado a On,11/05/2020 16:04:21,11/05/2020 16:04:28
TC026,adb_ui_wifi,Encender wifi con wifi encendido,True,"{'status': '1', 'device_id': '1'}",Wifi se encuentra On - No es necesario Turn On,11/05/2020 16:04:28,11/05/2020 16:04:55
TC027,adb_ui_calculator,Sumar dos numeros negativos,True,"{'operator': '+', 'operand2': '-2', 'operand1': '-3', 'device_id': '1'}",Resultado correcto de operacion,11/05/2020 16:04:55,11/05/2020 16:05:21
TC028,adb_ui_calculator,Dividir entre 0,True,"{'operator': '/', 'operand2': '0', 'operand1': '3', 'device_id': '1'}",No se puede dividir entre 0,11/05/2020 16:05:21,11/05/2020 16:05:21
TC029,adb_ui_calculator,Operador invalido,True,"{'operator': 'x', 'operand2': '0', 'operand1': '3', 'device_id': '1'}",Operador invalido,11/05/2020 16:05:21,11/05/2020 16:05:22
TC030,adb_ui_calculator,Operando 1 invalido,True,"{'operator': '+', 'operand2': '2', 'operand1': '3e1', 'device_id': '1'}",El valor del operando 1 no es valido,11/05/2020 16:05:22,11/05/2020 16:05:30
TC031,adb_ui_calculator,Operando 1 invalido,True,"{'operator': '+', 'operand2': '2f1', 'operand1': '3', 'device_id': '1'}",El valor del operando 2 no es valido,11/05/2020 16:05:30,11/05/2020 16:05:30
TC032,adb_ui_calculator,Sumar dos numeros,True,"{'operator': '+', 'operand2': '5', 'operand1': '4', 'device_id': '1'}",Resultado correcto de operacion,11/05/2020 16:05:30,11/05/2020 16:05:39
TC033,adb_ui_calculator,Restar dos numeros,True,"{'operator': '-', 'operand2': '5', 'operand1': '4', 'device_id': '1'}",Resultado correcto de operacion,11/05/2020 16:05:39,11/05/2020 16:05:49
TC034,adb_ui_calculator,Multiplicar dos numeros,True,"{'operator': '*', 'operand2': '5', 'operand1': '4', 'device_id': '1'}",Resultado correcto de operacion,11/05/2020 16:05:49,11/05/2020 16:05:58
TC035,adb_ui_calculator,Dividir dos numeros,True,"{'operator': '/', 'operand2': '5', 'operand1': '4', 'device_id': '1'}",Resultado correcto de operacion,11/05/2020 16:05:58,11/05/2020 16:06:08
